cliente_id,nombre,fecha_registro,segmento_calculado,pedidos_3m
113742,Jennifer Reguera Marín,2024-08-07,regular,3
112400,Dorotea del Villena,2022-11-29,premium,8
114480,Cristóbal del Exposito,2024-02-20,regular,6
113649,Noa Mur Santamaria,2024-03-22,regular,4
114986,Vicenta Ayllón Mayol,2020-11-05,premium,8
114630,Armando José Mari Prieto Jerez,2023-12-19,premium,8
112770,Jafet Vicente Posada,2022-10-17,regular,5
100829,Cándido Fuente Agustín,2023-07-30,regular,5
106073,Celestino Canales Gomis,2022-04-11,premium,8
114663,Anacleto Aragón Gámez,2021-12-10,premium,10
113884,Nicolás Polo Carranza,2024-05-13,premium,8
101740,Joan González,2023-01-04,regular,3
111163,Leoncio Fajardo Saavedra,2023-10-10,premium,8
111073,Francisco Teo Marí Cortes,2024-05-11,premium,8
112427,Aurelia del Valero,2022-07-03,regular,4
110873,Alonso Poza Morales,2023-07-09,premium,9
107373,Jose Francisco Ureña,2021-08-21,premium,9
107677,Brunilda Salinas Jáuregui,2022-03-04,premium,13
104116,Rufina Cuevas Tovar,2024-03-10,premium,7
114598,Plinio Godoy-Polo,2020-06-20,premium,8
105126,Manu Ojeda Ballester,2021-06-25,premium,9
103482,Lucas Capdevila Ferrándiz,2022-10-14,premium,9
106221,Yolanda Mendez Juárez,2021-09-16,premium,10
107304,Anastasio Esteban Valera Salas,2024-04-03,premium,7
103380,Susanita Fuente Becerra,2020-03-08,regular,5
108286,Manolo Hervia Heras,2021-01-12,premium,8
113598,Perla de Buendía,2020-05-03,premium,11
111752,Rosa Rius-Miguel,2022-03-13,regular,6
104074,Ignacio Colom Fábregas,2022-12-21,premium,10
107150,Marisa Arroyo Sastre,2020-09-24,regular,5
107248,Ismael Armas Blazquez,2021-08-13,premium,7
100896,Amador Quintanilla Ángel,2023-11-19,regular,2
103112,Elena Ricart-Báez,2023-08-12,premium,8
104515,Rufino Losa Pulido,2023-04-02,premium,10
101324,Glauco Lopez-Iriarte,2021-12-02,premium,11
107437,Evaristo Leal Tomas,2023-09-20,regular,6
103502,Jessica de Anguita,2022-09-01,regular,4
112855,Jose Ramón Quero Blasco,2020-05-13,regular,6
107699,Zaira Cerro Vall,2023-09-04,premium,13
111090,Febe Quesada Quintanilla,2023-10-04,premium,7
110370,Remedios Caparrós Gracia,2020-03-11,regular,6
106758,Andrés Felipe Ayllón Arcos,2023-06-11,premium,16
101684,Manola Mateu Zaragoza,2023-06-18,premium,10
100512,Ramiro Bustamante Quintero,2022-01-30,premium,12
104130,Adelaida Larrañaga Ramis,2024-06-02,premium,10
101347,Etelvina del Salgado,2022-08-06,premium,8
105654,Cintia Reig Montaña,2024-05-26,regular,5
107607,Rita Vizcaíno Silva,2022-04-05,regular,6
114793,Timoteo Isern Peiró,2023-12-09,premium,9
109489,Elba Canals Mayol,2020-03-18,premium,8
113644,Eligia Requena Blazquez,2020-04-03,premium,16
110028,Jeremías Desiderio Pagès Cortes,2024-07-28,premium,11
110028,Jeremías Desiderio Pagès Cortes,2024-07-28,premium,11
104780,Susana Julie Cobos Salvador,2024-06-10,premium,7
110736,Cebrián Soria Agudo,2022-04-28,regular,4
110736,Cebrián Soria Agudo,2022-04-28,regular,4
109453,Marcial Revilla Lobo,2024-07-02,premium,11
113850,Ema Carranza,2022-10-14,regular,5
112907,Candelas del Vila,2023-05-10,premium,9
104192,Zoraida Cisneros,2024-03-09,premium,8
100340,José Ángel Osuna Azcona,2020-10-20,premium,7
103734,Tomás Aguirre Galván,2023-01-28,premium,10
112314,Dolores Tena Juárez,2024-08-14,premium,7
104120,Casemiro Espejo Peiró,2024-01-19,premium,9
105207,Régulo Aragonés-Mariño,2022-03-14,premium,12
100938,Celestino Estrada Bermejo,2021-08-16,premium,11
101480,Aura Castejón-Expósito,2020-12-20,premium,14
100543,Dionisio Ruano Peláez,2021-09-25,premium,7
107031,Mónica Guijarro,2023-10-12,premium,7
101767,Agustina Blazquez Salvador,2024-02-23,premium,9
108294,Julia Viana Gallardo,2022-09-22,regular,4
110655,Dorita Navas Guerra,2021-09-05,regular,6
100477,Marco Cadenas Piña,2023-05-03,premium,11
101023,Primitiva Pina Téllez,2024-02-10,premium,10
109030,Ramona Osorio Perera,2024-01-17,regular,5
101748,Alejandra Esteban Pozo,2022-11-21,premium,12
100903,Ámbar Raquel Malo Abella,2024-07-12,premium,7
101011,Gilberto Abril Ropero,2024-01-08,regular,3
109001,Cayetana Durán,2020-08-18,premium,7
100737,Pacífica Ramón Abad,2022-02-21,premium,8
114802,Inocencio Barroso,2023-11-10,premium,10
108471,Jose Antonio del Gibert,2022-11-28,premium,7
108383,Gabriela Ramos Solé,2023-11-28,premium,10
104005,Teodoro Agullo Prado,2020-04-22,premium,9
110200,Prudencia Hierro Vargas,2023-04-06,premium,10
102474,Juan Francisco Ródenas Escamilla,2020-04-26,regular,5
112452,Isidro Emilio Abascal Vizcaíno,2021-09-11,premium,11
107746,Román Hervás,2020-06-19,regular,5
105652,Francisca Pombo Carbó,2020-05-04,premium,8
111185,Josué Galván-Fajardo,2021-07-10,premium,8
100128,Blas Zurita Donaire,2023-12-07,regular,5
111179,Otilia de Angulo,2024-02-29,regular,5
108956,Felicidad Narváez-Isern,2021-12-16,premium,8
103814,Olga Enríquez Barco,2024-08-12,regular,6
113692,Miguel Rodrigo,2021-04-01,premium,8
106464,Ana Sofía Alcolea Solé,2022-03-24,premium,10
103979,Alma del Batalla,2024-01-07,premium,8
100151,Desiderio Josué Llorens Barrio,2023-03-10,regular,5
100124,Amanda Puig-Cabeza,2022-04-19,regular,6
112125,Pancho Gimenez Llanos,2020-06-24,premium,9
113042,Marisol de Blázquez,2024-07-01,regular,5
115039,Diego del Boada,2021-08-03,premium,7
107137,Ana Sofía Rozas,2021-10-23,premium,11
114982,Marcos Porcel-Salamanca,2023-04-02,premium,7
113152,Miguel Ángel Fabio Abril Arjona,2023-06-21,regular,3
102933,Valentina Cabanillas Zaragoza,2021-07-29,premium,7
109028,Estrella Campillo Mendoza,2023-07-25,premium,9
111794,Onofre del Lasa,2022-10-27,premium,15
110866,Manuel Sanabria,2023-12-20,premium,12
109339,Pilar Carrera Tormo,2022-03-23,regular,6
102563,Evangelina Tovar Jódar,2021-06-28,regular,6
101271,María Manuela Rincón Ribes,2022-03-23,premium,7
103990,Carmen Tejada Ribas,2024-06-04,premium,8
112226,Albino Briones Huguet,2021-10-17,regular,6
105844,Amílcar Peinado Ferrán,2022-08-05,premium,7
100020,Manola Perez Rosales,2024-05-03,premium,10
105509,Salomé Carreras-Barral,2020-08-08,regular,6
107769,Fabio Castro Hernando,2023-03-10,premium,10
101548,Aníbal del Gutierrez,2023-02-28,premium,15
101534,Miguela Aurora Gargallo Cortés,2023-09-13,regular,6
102555,Ulises Gabino Mata Saez,2023-01-17,premium,9
103411,Catalina Marcos,2023-01-08,premium,10
106599,Loreto Cabello-Olivera,2020-08-09,premium,7
107999,Paz Arribas Arana,2021-09-02,premium,7
114965,Aura Lobo Valderrama,2021-04-09,premium,11
104751,Ulises Porcel Jiménez,2024-01-10,premium,12
108177,María Manuela Prado Millán,2022-03-21,premium,13
107822,Elpidio Amat Seco,2021-09-27,premium,15
104537,Clímaco Zapata Estévez,2021-06-04,premium,8
114104,Rosa Roman,2024-05-03,premium,11
100089,Teodosio Pozo Garriga,2021-10-30,premium,11
115205,Manu Baños-Alcalde,2022-08-19,premium,8
110280,Ariadna Soria Jáuregui,2020-08-03,premium,11
107782,Nicolás Carnero,2022-12-21,premium,9
109004,Chucho Renato Moya Barrio,2021-06-25,premium,14
106197,Gloria Collado Nadal,2023-08-20,regular,6
108283,Lina María Manuela Viana Llorente,2022-04-23,premium,7
107361,María Dolores Vallejo Mesa,2022-04-17,premium,11
114794,María Luisa Iglesias Escamilla,2024-07-12,premium,9
109625,Albano Castell Segovia,2020-04-25,premium,7
102969,Noemí Simó Busquets,2023-05-21,premium,9
101108,Casemiro Sevillano Calderon,2020-12-09,premium,14
108674,Dalila Ortuño Expósito,2024-05-01,premium,11
107464,Carlito Rivera Lucena,2022-08-17,premium,7
111314,Martín Cámara Nuñez,2020-09-30,premium,11
103483,Florencia Mármol,2021-12-23,premium,12
102860,Pía Salgado,2021-08-24,premium,10
103661,Ascensión del Báez,2021-09-17,regular,4
101749,Emilio Crespo Carbonell,2022-12-03,premium,11
104683,Cornelio Martin Azorin,2020-08-20,premium,17
109531,Susana Arribas Sanchez,2021-12-18,premium,11
109203,Clemente Gibert Pinto,2021-09-08,regular,6
107411,Marcial Uribe Estrada,2021-01-24,premium,12
102797,Ángela Naranjo Alvarez,2021-06-30,premium,7
103326,Lorenzo Roura Trillo,2024-04-18,premium,8
107204,José Núñez Ródenas,2023-05-11,regular,5
107204,José Núñez Ródenas,2023-05-11,regular,5
106693,Antonia Tirado Pagès,2020-06-25,regular,6
101769,Pelayo del Falcó,2023-11-03,premium,9
107758,Olga Castilla Cabañas,2022-09-21,premium,20
106149,Mohamed del Goñi,2020-12-03,regular,6
110076,Nacio Feliu Pont,2024-05-29,premium,11
112161,Azucena Conesa Bueno,2023-09-27,premium,9
109396,Gil Toribio Zabaleta Rius,2021-07-14,premium,12
100103,Inés Domingo Acuña,2023-04-07,regular,6
102141,Irma Ródenas Méndez,2020-12-16,premium,11
101607,Angelita Lloret Fernández,2023-07-04,premium,8
102232,Domingo Velasco,2023-03-19,premium,10
102232,Domingo Velasco,2023-03-19,premium,10
109781,Pastor Checa Vicens,2024-01-04,premium,8
111044,Juan Francisco Riera,2023-04-11,premium,9
104936,Donato Rosselló Flores,2020-10-31,premium,7
106425,Moisés Ayala Angulo,2024-06-17,premium,7
112523,Fortunato Tomás Montserrat,2023-05-29,premium,8
108964,Reyna Grau,2022-07-29,premium,10
104231,Violeta Angulo Pedrero,2022-05-09,premium,12
109301,Custodio Escribano Ponce,2024-04-26,premium,14
103669,Ariel Almazán Nicolau,2022-08-15,premium,8
107192,Fabio Valera Pina,2021-12-16,premium,7
107530,Cebrián de Pinto,2022-01-12,premium,13
102361,Leonor de Rivera,2022-01-11,premium,8
110281,Armida Vaquero Riera,2022-09-18,premium,7
107336,Carlos Ortiz Paniagua,2021-06-06,premium,9
108827,Espiridión Jordán Álvarez,2023-01-08,premium,9
109486,Aurelio Roberto Falcó Sosa,2023-10-21,premium,14
102440,Rufina Raya Mulet,2021-04-09,premium,9
113223,Isaías Valera Bernal,2023-11-21,premium,12
104466,Sebastian Aitor Hidalgo Salazar,2024-05-13,regular,5
104466,Sebastian Aitor Hidalgo Salazar,2024-05-13,regular,5
106562,Ricardo Chaves Vall,2021-04-15,regular,4
101088,Víctor Carreras Palomar,2024-02-10,premium,9
106481,Duilio Castañeda Teruel,2022-05-30,premium,13
108240,Ángel Vives Ramis,2022-10-22,regular,4
104448,Martina Lluch Torre,2022-04-04,premium,11
106792,Susana Menendez Palomar,2023-11-12,premium,11
106436,Etelvina de Castell,2021-02-01,premium,8
106858,Maura Hernando Marqués,2021-11-25,regular,4
108762,María Cuesta-Báez,2023-08-10,premium,8
102460,Amalia María Jesús Morcillo Barbero,2024-04-26,premium,9
107284,Tadeo del Ayllón,2023-08-17,premium,13
114450,Genoveva Vidal Mendoza,2020-12-09,regular,6
113069,Teodora Cózar,2022-08-17,premium,9
110644,Roberta Quevedo Cepeda,2020-09-07,regular,6
104864,Brunilda Antón,2021-02-13,regular,6
109566,Marianela de Bejarano,2022-02-24,premium,11
106423,Rita Sonia Belmonte Mate,2021-02-20,premium,18
112658,Erasmo Tomé,2024-07-18,premium,12
104581,Tomasa Pozo Gámez,2021-09-27,premium,8
108114,Julia Beltrán Mariscal,2020-06-13,premium,12
103215,Francisco Pujadas Talavera,2021-01-01,premium,10
102185,Irene Bermudez Llabrés,2022-11-30,premium,13
110680,Jose Miguel Jacobo Arévalo Tamarit,2021-11-07,regular,5
110920,Adelia Herrero Bárcena,2024-02-23,premium,8
104875,Caridad Maxi Zabaleta Rovira,2023-01-01,premium,8
100252,Horacio Martorell Mir,2023-07-04,regular,5
105505,Eli de Frutos,2023-12-01,premium,11
104521,Gerónimo Polo Castillo,2021-08-03,premium,12
103945,Angelita Valentín Alcolea,2024-02-27,premium,12
107966,Santiago Segarra Estévez,2024-01-31,regular,6
113549,Leopoldo David Sánchez Pazos,2023-12-24,premium,7
109684,Baltasar Blazquez Gelabert,2020-12-01,regular,6
113938,Javi Sosa Vall,2020-12-13,premium,8
106602,Sabina Aguilar,2022-10-13,premium,8
108324,Glauco Daza Carretero,2022-08-27,premium,9
105029,Beatriz Vidal-Franco,2021-03-24,regular,6
110804,Lucila Jessica Lloret Pavón,2023-05-14,premium,9
114828,Vilma Mendoza Vall,2021-04-05,regular,6
108250,Ezequiel Ros,2023-10-05,premium,7
101625,Haydée Arrieta Llano,2022-02-13,premium,11
109546,Filomena Rey Pedrero,2023-02-28,premium,9
109086,Martirio Valeria Paredes Ferrero,2024-04-06,premium,10
106187,Emelina Yéssica Rosa Abascal,2022-12-07,premium,11
114650,Apolinar Cervantes Mancebo,2022-09-20,regular,5
111751,Marcela Rosalina Bermúdez Garcia,2021-12-28,premium,10
101227,Encarna Serafina Torrents Paredes,2023-02-02,premium,9
107720,Rufina Gimeno Pablo,2023-08-04,regular,6
105437,Joel Alberola,2022-10-03,premium,10
105285,Néstor de Adadia,2023-03-29,regular,6
110201,Ricarda del Solís,2020-04-30,premium,9
108642,Ismael Recio Morillo,2020-06-27,premium,8
103828,Juan Antonio España Garzón,2021-12-01,premium,13
100388,Cipriano Mora Román,2023-07-21,premium,12
100197,Óscar Echeverría Cruz,2020-07-13,regular,5
114980,Belen del Cuéllar,2021-04-30,premium,9
109757,Ricardo del Aliaga,2022-09-06,premium,10
113343,Virgilio Navas,2022-11-11,premium,11
106843,Nadia Molina Benítez,2020-10-11,premium,12
107638,Evaristo Salinas Criado,2023-04-02,premium,9
107638,Evaristo Salinas Criado,2023-04-02,premium,9
111148,Toribio Crespi Balaguer,2021-02-14,premium,13
107587,Amarilis Gimenez Buendía,2021-12-16,premium,8
103528,Martina Soler Salas,2021-02-09,premium,12
110064,Dorita Galan Landa,2021-05-04,regular,5
108119,Ámbar Carbó-Vilaplana,2020-06-19,premium,8
110052,Carmela Catalán Benito,2024-03-26,premium,11
101870,Ariel Fernández Ariza,2023-12-08,premium,8
111928,Virgilio Trinidad Chamorro Carrasco,2020-08-27,premium,16
106740,Elías Yuste Quintero,2022-06-22,regular,5
104169,Carlos Villalonga-Amor,2024-03-12,premium,11
104829,Vasco Carnero Dalmau,2023-11-24,premium,7
108300,Juan Manuel Baquero Ramón,2020-10-15,premium,9
107664,Nico Pedrosa Ferrández,2022-04-05,premium,9
102158,Saturnina Cases Salmerón,2022-12-21,regular,5
102657,Nicanor Mesa-Castañeda,2024-08-25,premium,14
112736,Zacarías Garrido Vara,2022-01-22,premium,8
110311,Socorro Amorós Mena,2024-06-14,premium,10
103155,Javi Mármol Téllez,2022-11-07,premium,10
100412,Brunilda Anaya Luque,2023-09-17,premium,9
113056,Azahar Torrens Godoy,2022-11-20,premium,8
110420,Heliodoro Cantero-Roselló,2023-11-11,premium,13
109163,Esteban Morcillo Valentín,2020-12-01,premium,9
110190,Aníbal Miguel Paredes Catalá,2024-04-08,premium,9
106246,Cornelio Bravo Borrell,2023-08-12,premium,9
110125,Ruperto Arranz Amor,2024-03-20,premium,8
109261,Pascuala Santos,2022-07-03,regular,2
103211,Reyes Porta-Soto,2020-07-29,premium,15
103602,Saturnino del Solera,2021-03-01,regular,5
114221,Jose Manuel Ferrero Navarro,2023-06-25,regular,6
105599,Nazaret de Vila,2022-09-07,premium,11
106461,Onofre Rey Marti,2024-02-07,premium,8
106461,Onofre Rey Marti,2024-02-07,premium,8
108077,Petrona Martinez-Morante,2021-12-09,premium,11
108055,Edmundo Ramos Mínguez,2023-04-23,premium,11
108055,Edmundo Ramos Mínguez,2023-04-23,premium,11
104975,Cesar Carrión Amador,2021-01-01,regular,5
109306,Gonzalo Mariscal Prieto,2023-09-27,premium,8
108664,Celia Velasco Diaz,2023-06-27,regular,5
103373,Jose Miguel Tejero Vila,2020-08-31,premium,9
111434,Anastasio Benavides,2022-03-26,regular,6
109365,Abilio Orozco Calzada,2023-04-04,premium,15
101124,Virginia Jerez Seco,2022-09-28,regular,3
110939,Marcos Abad Ribas,2023-07-27,premium,7
112987,Fortunata López Ariño,2024-03-26,regular,6
108361,Reyes Hernando,2023-10-31,regular,4
106026,Paco Gallo Cepeda,2023-10-20,premium,13
103015,Gala Solsona Nicolau,2021-09-08,regular,5
107075,Osvaldo Francisco Alcolea Gámez,2021-03-09,regular,4
101120,Xiomara Delgado-Valentín,2022-12-30,premium,8
105715,Florentina Navarro Peralta,2023-08-08,premium,9
114939,Juan Manuel Cabo,2020-11-06,premium,12
105401,Anabel Garriga-Vigil,2020-11-23,premium,9
101373,Melchor Oliver-Pedrosa,2022-02-05,premium,8
103070,Cecilia del Garcés,2021-09-27,premium,8
102684,Gustavo León Gallego,2022-01-31,regular,5
110727,Mario Castilla Tena,2022-06-15,premium,7
112801,Blanca Cáceres Sala,2022-12-29,regular,5
107551,Espiridión Valls Angulo,2023-05-20,regular,5
101035,Juan Francisco Tejera Girón,2021-03-30,premium,8
107260,Arsenio Modesto Nuñez Tolosa,2021-03-30,premium,9
110246,Rolando Mir Castelló,2024-05-25,premium,14
114130,Adoración del Castillo,2023-08-18,regular,4
106175,Anastasio Giner Vilanova,2020-10-23,premium,10
100380,Alejandra Alcántara Amo,2022-03-21,premium,9
109356,Curro Edgardo Blanca Gonzalo,2022-08-01,premium,8
107189,María Belén Merino-Amat,2023-11-22,premium,10
105897,Merche Tomás Ferrera,2021-04-02,regular,4
105647,Anselma Rey Mariscal,2023-03-24,regular,3
105340,Domitila Ripoll,2022-02-02,premium,7
103644,Lino Anglada Mariscal,2021-09-16,premium,9
113354,Rosaura del Palacios,2022-05-25,regular,5
107585,Adela Ileana Navarrete Peñalver,2023-01-08,premium,9
107585,Adela Ileana Navarrete Peñalver,2023-01-08,premium,9
108199,Gabriel Pizarro Toro,2023-12-21,premium,9
108482,Sandra Rosalía Martínez Madrid,2023-06-02,premium,7
107154,Martina Español Giralt,2020-07-30,regular,5
104258,Gilberto Tovar,2024-06-10,premium,8
113136,Marcial Navas Gomis,2021-10-14,premium,9
114935,Adriana Gutierrez Esparza,2022-09-18,premium,7
114170,Adelia Cabanillas,2021-06-19,premium,11
100048,Reina Ferrán Higueras,2023-04-19,regular,5
102324,José Luis Franch,2021-02-12,premium,7
102472,Román Escobar Lluch,2022-09-16,regular,6
106206,Maristela Laura Quintanilla Bosch,2023-10-01,premium,8
109979,Esperanza Aznar Almazán,2021-03-10,premium,10
109894,Samuel Colomer-Peinado,2024-04-09,premium,14
113890,Bárbara Mariscal,2021-01-20,premium,7
112697,Luisa Morell Vega,2023-01-21,premium,7
109295,Rufina del Hernández,2024-04-04,regular,4
110947,Íñigo Contreras Galan,2023-02-21,premium,7
113835,Efraín del Peralta,2020-03-09,premium,11
105770,Amalia Diego Carreras,2020-10-01,premium,9
105770,Amalia Diego Carreras,2020-10-01,premium,9
114139,Adrián Gil Vilar,2022-01-12,premium,13
102907,Modesta Gracia,2022-02-10,premium,9
102849,Felicidad Bello-Céspedes,2020-12-15,regular,5
110964,Teófila Espinosa Galván,2023-01-07,premium,8
105262,Teodoro Agustín Ayllón,2022-08-05,premium,10
110312,Basilio Seguí-Milla,2023-06-23,premium,11
106419,Chita Morata Cueto,2021-04-08,premium,8
107345,Albano Poza Izaguirre,2023-11-02,premium,8
101012,Claudia Calvet-Yáñez,2024-04-18,premium,9
108778,Jacinto Marcos Posada Aguilar,2024-02-25,regular,5
104694,Manuel Andres Fuertes,2020-03-15,premium,12
106374,Judith Fajardo-Solsona,2021-07-03,premium,7
114418,Leandra Real Carrillo,2020-03-21,regular,6
110165,Juan Mate-Aranda,2024-03-10,premium,8
103577,Arsenio Pavón Rozas,2020-11-04,regular,4
111720,Diego Santamaria Arenas,2022-08-04,premium,13
115207,Marianela Landa,2020-03-10,regular,6
100908,Manuela Robles Blanco,2022-05-16,premium,8
111855,Salvador Garzón Balaguer,2020-12-06,regular,6
110505,Filomena Tomás Serra,2022-01-18,premium,8
103904,Angelita Hoz Terrón,2024-01-24,premium,10
100352,Leoncio Carrera-Donoso,2022-01-14,premium,9
105419,Marcio Codina Márquez,2021-06-05,regular,6
102343,Nydia de Reyes,2022-12-20,premium,7
104885,Reyes de Carranza,2023-11-10,regular,5
104953,Claudia Larrañaga Sanz,2024-04-23,premium,8
105752,Calixta Gutiérrez-Cantero,2023-11-15,premium,13
115084,Jerónimo Daza,2020-03-01,premium,7
109842,Eligia Flores,2022-04-30,regular,6
112001,Febe Emilia Ortiz Cózar,2021-01-17,premium,9
104245,Horacio Gomez Galván,2023-02-06,premium,10
115066,Virgilio Quiroga Pozuelo,2021-03-27,premium,7
114088,Manuel Carvajal Reina,2020-10-04,regular,6
112575,Rafaela Alcántara-Palau,2020-07-13,premium,9
113409,Martina Arranz Iniesta,2020-12-17,premium,9
110276,Teófila Vaquero Bautista,2020-06-27,premium,7
109439,Lupe Pellicer,2024-01-06,premium,8
105806,Baltasar Agustí Verdugo,2022-06-19,regular,5
102627,Herberto Rojas Escrivá,2021-11-17,premium,10
112009,Melisa Cecilia Acuña Ferrando,2021-02-14,premium,7
113095,Víctor Nogueira,2020-11-13,regular,4
110548,Hugo Tirado Agustí,2022-07-13,premium,7
110548,Hugo Tirado Agustí,2022-07-13,premium,7
102814,Paloma Roig Molina,2021-02-09,premium,7
102674,Noa Llanos Alemany,2021-09-15,premium,11
113986,Felicidad Plaza Ugarte,2021-07-06,regular,3
109331,Alfonso de Andres,2022-05-23,regular,4
103099,Juanita del Ojeda,2023-07-03,regular,4
111268,Eligio Antonio Roda Fiol,2024-07-08,regular,2
110882,Fortunata Rosado Fabregat,2023-08-18,regular,6
102302,Baltasar Girón Cuenca,2022-05-22,premium,9
101460,Gracia Alberola Acevedo,2023-06-10,premium,7
